TEXT	A1	A2	GOLD
Alzatosi poi, come in fretta, disse: «via, figliuoli, non c'è tempo da perdere: Dio vi guardi, il suo angelo v'accompagni: andate.»	NERVOUSNESS,DESIRE	OPTIMISM	NERVOUSNESS,CARING
E mentre s'avviavano, con quella commozione che non trova parole, e che si manifesta senza di esse, il padre soggiunse, con voce alterata: «il cuor mi dice che ci rivedremo presto.»	OPTIMISM,SADNESS	OPTIMISM,SADNESS	OPTIMISM,SADNESS
Certo, il cuore, chi gli dà retta, ha sempre qualche cosa da dire su quello che sarà.	NEUTRAL	NEUTRAL	NEUTRAL
Ma che sa il cuore?	NEUTRAL,DISAPPROVAL	CONFUSION	DISAPPROVAL
Appena un poco di quello che è già accaduto.	NEUTRAL	SADNESS	SADNESS
Senza aspettar risposta, fra Cristoforo, andò verso la sagrestia; i viaggiatori usciron di chiesa; e fra Fazio chiuse la porta, dando loro un addio, con la voce alterata anche lui.	NEUTRAL,SADNESS	NEUTRAL,SADNESS	NEUTRAL,SADNESS
Essi s'avviarono zitti zitti alla riva ch'era stata loro indicata; videro il battello pronto, e data e barattata la parola, c'entrarono.	NEUTRAL	SADNESS,NEUTRAL	SADNESS,NEUTRAL
Il barcaiolo, puntando un remo alla proda, se ne staccò; afferrato poi l'altro remo, e vogando a due braccia, prese il largo, verso la spiaggia opposta.	NEUTRAL	NEUTRAL	NEUTRAL
Non tirava un alito di vento; il lago giaceva liscio e piano, e sarebbe parso immobile, se non fosse stato il tremolare e l'ondeggiar leggiero della luna, che vi si specchiava da mezzo il cielo.	NEUTRAL	NEUTRAL	NEUTRAL
S'udiva soltanto il fiotto morto e lento frangersi sulle ghiaie del lido, il gorgoglìo più lontano dell'acqua rotta tra le pile del ponte, e il tonfo misurato di que' due remi, che tagliavano la superficie azzurra del lago, uscivano a un colpo grondanti, e si rituffavano.	NEUTRAL	NEUTRAL	NEUTRAL
L'onda segata dalla barca, riunendosi dietro la poppa, segnava una striscia increspata, che s'andava allontanando dal lido.	NEUTRAL	NEUTRAL	NEUTRAL
I passeggieri silenziosi, con la testa voltata indietro, guardavano i monti, e il paese rischiarato dalla luna, e variato qua e là di grand'ombre.	NEUTRAL	NEUTRAL	NEUTRAL
Si distinguevano i villaggi, le case, le capanne: il palazzotto di don Rodrigo, con la sua torre piatta, elevato sopra le casucce ammucchiate alla falda del promontorio, pareva un feroce che, ritto nelle tenebre, in mezzo a una compagnia d'addormentati, vegliasse, meditando un delitto.	NEUTRAL,FEAR	FEAR	NEUTRAL,FEAR
Lucia lo vide, e rabbrividì; scese con l'occhio giù giù per la china, fino al suo paesello, guardò fisso all'estremità, scoprì la sua casetta, scoprì la chioma folta del fico che sopravanzava il muro del cortile, scoprì la finestra della sua camera; e, seduta, com'era, nel fondo della barca, posò il braccio sulla sponda, posò sul braccio la fronte, come per dormire, e pianse segretamente.	FEAR,SADNESS	FEAR,SADNESS	FEAR,SADNESS
Addio, monti sorgenti dall'acque, ed elevati al cielo; cime inuguali, note a chi è cresciuto tra voi, e impresse nella sua mente, non meno che lo sia l'aspetto de' suoi più familiari; torrenti, de' quali distingue lo scroscio, come il suono delle voci domestiche; ville sparse e biancheggianti sul pendìo, come branchi di pecore pascenti; addio!	SADNESS,LOVE,ADMIRATION	SADNESS	SADNESS,LOVE
Quanto è tristo il passo di chi, cresciuto tra voi, se ne allontana!	SADNESS	SADNESS	SADNESS
Alla fantasia di quello stesso che se ne parte volontariamente, tratto dalla speranza di fare altrove fortuna, si disabbelliscono, in quel momento, i sogni della ricchezza; egli si maraviglia d'essersi potuto risolvere, e tornerebbe allora indietro, se non pensasse che, un giorno, tornerà dovizioso.	REMORSE,OPTIMISM	SADNESS,OPTIMISM	REMORSE,OPTIMISM
Quanto più s'avanza nel piano, il suo occhio si ritira, disgustato e stanco, da quell'ampiezza uniforme; l'aria gli par gravosa e morta; s'inoltra mesto e disattento nelle città tumultuose; le case aggiunte a case, le strade che sboccano nelle strade, pare che gli levino il respiro; e davanti agli edifizi ammirati dallo straniero, pensa, con desiderio inquieto, al campicello del suo paese, alla casuccia a cui ha già messi gli occhi addosso, da gran tempo, e che comprerà, tornando ricco a' suoi monti.	DISGUST,SADNESS,OPTIMISM	DISGUST,SADNESS,OPTIMISM	DISGUST,SADNESS,OPTIMISM
Ma chi non aveva mai spinto al di là di quelli neppure un desiderio fuggitivo, chi aveva composti in essi tutti i disegni dell'avvenire, e n'è sbalzato lontano, da una forza perversa!	ANGER	ANGER	ANGER
Chi, staccato a un tempo dalle più care abitudini, e disturbato nelle più care speranze, lascia que' monti, per avviarsi in traccia di sconosciuti che non ha mai desiderato di conoscere, e non può con l'immaginazione arrivare a un momento stabilito per il ritorno!	ANGER	ANGER	ANGER
Addio, casa natìa, dove, sedendo, con un pensiero occulto, s'imparò a distinguere dal rumore de' passi comuni il rumore d'un passo aspettato con un misterioso timore.	SADNESS,LOVE	SADNESS,LOVE	SADNESS,LOVE
Addio, casa ancora straniera, casa sogguardata tante volte alla sfuggita, passando, e non senza rossore; nella quale la mente si figurava un soggiorno tranquillo e perpetuo di sposa.	SADNESS,LOVE	SADNESS,LOVE	SADNESS,LOVE
Addio, chiesa, dove l'animo tornò tante volte sereno, cantando le lodi del Signore; dov'era promesso, preparato un rito; dove il sospiro segreto del cuore doveva essere solennemente benedetto, e l'amore venir comandato, e chiamarsi santo; addio!	SADNESS,LOVE	SADNESS,LOVE	SADNESS,LOVE
Chi dava a voi tanta giocondità è per tutto; e non turba mai la gioia de' suoi figli, se non per prepararne loro una più certa e più grande.	NEUTRAL,OPTIMISM	OPTIMISM	OPTIMISM
Di tal genere, se non tali appunto, erano i pensieri di Lucia, e poco diversi i pensieri degli altri due pellegrini, mentre la barca gli andava avvicinando alla riva destra dell'Adda.	NEUTRAL	NEUTRAL	NEUTRAL
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
	,,	,,	
